Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-06-01,ADANIGREEN,EQ,1268.2,1270.0,1280.0,1249.0,1265.0,1271.05,1266.1,664012,84070890205000.0,30666,357960,0.5391
2021-06-02,ADANIGREEN,EQ,1271.05,1275.0,1318.45,1275.0,1299.95,1299.8,1297.48,1381899,179298440535000.0,43586,683295,0.49450000000000005
2021-06-03,ADANIGREEN,EQ,1299.8,1323.0,1323.0,1281.1,1288.0,1286.9,1292.55,1190736,153908117975000.0,43338,654391,0.5496
2021-06-04,ADANIGREEN,EQ,1286.9,1305.2,1308.0,1271.25,1280.95,1277.25,1282.02,842516,108011939745000.0,37330,446423,0.5299
2021-06-07,ADANIGREEN,EQ,1277.25,1294.4,1294.4,1263.0,1265.0,1264.85,1274.44,647083,82466957215000.0,31402,440166,0.6802
2021-06-08,ADANIGREEN,EQ,1264.85,1278.0,1278.0,1242.5,1267.1,1267.55,1263.28,678122,85665798390000.0,26936,403530,0.5951
2021-09-13,ADANIGREEN,EQ,1215.95,1215.0,1219.9,1166.05,1185.0,1185.2,1196.09,713024,85283819015000.0,24955,434933,0.61
2021-09-14,ADANIGREEN,EQ,1185.2,1189.0,1208.4,1133.1,1149.0,1149.4,1165.2,903673,105296105170000.0,28669,712215,0.7881
2021-09-15,ADANIGREEN,EQ,1149.4,1160.5,1169.0,1120.0,1126.75,1126.95,1131.92,568745,64377392860000.0,29332,439690,0.7731
2021-09-16,ADANIGREEN,EQ,1126.95,1137.0,1180.25,1110.45,1165.0,1169.65,1148.86,581390,66793333045000.01,20405,371277,0.6386000000000001
2021-09-17,ADANIGREEN,EQ,1169.65,1184.0,1184.0,1120.0,1153.0,1153.25,1150.45,821213,94476151340000.0,30952,640260,0.7797000000000001
2021-09-20,ADANIGREEN,EQ,1153.25,1145.95,1145.95,1112.05,1121.95,1131.15,1130.71,1781350,201418517310000.0,23304,1341529,0.7531
2021-09-21,ADANIGREEN,EQ,1131.15,1115.0,1127.0,1097.25,1117.0,1120.7,1117.22,1798120,200889799710000.0,21168,1228772,0.6834
2021-09-22,ADANIGREEN,EQ,1120.7,1147.4,1163.5,1127.05,1139.95,1141.55,1140.31,2248068,256350021855000.03,36809,1616164,0.7189
2021-09-23,ADANIGREEN,EQ,1141.55,1150.0,1160.0,1118.75,1136.7,1149.2,1134.88,2615150,296787212335000.0,58874,1765026,0.6748999999999999
2021-09-24,ADANIGREEN,EQ,1149.2,1149.2,1159.0,1125.25,1147.0,1151.8,1142.88,3334805,381128397395000.0,47793,2123240,0.6367
2021-09-27,ADANIGREEN,EQ,1151.8,1157.0,1159.5,1127.0,1150.0,1153.45,1143.49,3249556,371584151465000.0,44406,2164694,0.6662
2021-09-28,ADANIGREEN,EQ,1153.45,1158.0,1160.0,1132.25,1134.0,1144.5,1148.4,3469774,398469905600000.0,38443,2169067,0.6251
2021-09-29,ADANIGREEN,EQ,1144.5,1130.0,1149.8,1111.25,1129.05,1138.65,1140.42,3694509,421328641740000.0,45831,2231164,0.6039
